id,Exited
165034,0
165035,0
165036,0
165037,0
165038,1
165039,0
165040,0
165041,0
165042,1
165043,0
165044,1
165045,0
165046,0
165047,1
165048,1
165049,0
165050,1
165051,0
165052,0
165053,1
165054,0
165055,1
165056,0
165057,0
165058,1
165059,1
165060,0
165061,0
165062,1
165063,0
165064,0
165065,0
165066,0
165067,1
165068,1
165069,0
165070,0
165071,0
165072,1
165073,1
165074,0
165075,1
165076,1
165077,0
165078,0
165079,0
165080,0
165081,1
165082,0
165083,1
165084,1
165085,0
165086,0
165087,0
165088,0
165089,1
165090,1
165091,0
165092,0
165093,0
165094,1
165095,0
165096,0
165097,1
165098,1
165099,0
165100,1
165101,1
165102,1
165103,0
165104,0
165105,1
165106,1
165107,1
165108,0
165109,1
165110,0
165111,0
165112,0
165113,0
165114,0
165115,0
165116,1
165117,0
165118,0
165119,0
165120,1
165121,0
165122,1
165123,0
165124,1
165125,1
165126,1
165127,0
165128,0
165129,1
165130,0
165131,1
165132,1
165133,1
165134,0
165135,0
165136,0
165137,0
165138,0
165139,1
165140,0
165141,0
165142,0
165143,1
165144,1
165145,1
165146,0
165147,0
165148,1
165149,0
165150,0
165151,1
165152,1
165153,1
165154,0
165155,0
165156,0
165157,0
165158,1
165159,1
165160,0
165161,0
165162,1
165163,0
165164,0
165165,1
165166,1
165167,1
165168,1
165169,1
165170,1
165171,0
165172,0
165173,1
165174,0
165175,0
165176,0
165177,0
165178,0
165179,0
165180,1
165181,0
165182,1
165183,1
165184,0
165185,1
165186,0
165187,0
165188,0
165189,0
165190,0
165191,0
165192,1
165193,0
165194,1
165195,1
165196,0
165197,1
165198,0
165199,0
165200,0
165201,1
165202,1
165203,1
165204,1
165205,0
165206,1
165207,1
165208,0
165209,1
165210,0
165211,0
165212,1
165213,0
165214,0
165215,0
165216,0
165217,0
165218,0
165219,0
165220,0
165221,0
165222,1
165223,0
165224,1
165225,1
165226,0
165227,1
165228,1
165229,0
165230,1
165231,0
165232,0
165233,0
165234,1
165235,0
165236,1
165237,0
165238,1
165239,1
165240,0
165241,0
165242,1
165243,0
165244,1
165245,0
165246,1
165247,0
165248,0
165249,0
165250,0
165251,0
165252,1
165253,1
165254,0
165255,0
165256,1
165257,1
165258,0
165259,0
165260,1
165261,1
165262,1
165263,0
165264,1
165265,1
165266,0
165267,1
165268,1
165269,0
165270,1
165271,0
165272,1
165273,0
165274,1
165275,1
165276,1
165277,0
165278,0
165279,1
165280,0
165281,0
165282,1
165283,1
165284,1
165285,1
165286,1
165287,0
165288,0
165289,0
165290,0
165291,0
165292,1
165293,1
165294,0
165295,0
165296,1
